DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
    Theft Of Motor Vehicle,0,1,0,1,3,0,2,3,3,1,6,5,16
    Outrage Of Modesty,31,34,27,27,29,32,26,28,24,25,28,27,26
Bedok Police Division - Pasir Ris NPC,36,39,33,27,32,36,23,37,33,49,59,64,84
    Robbery,1,0,0,0,2,0,1,1,1,5,2,4,9
    Housebreaking,4,4,0,5,5,1,2,0,4,13,2,7,9
    Snatch Theft,0,0,0,0,1,0,0,1,0,0,4,9,5
    Theft Of Motor Vehicle,3,0,1,0,1,3,2,3,6,6,12,13,17
    Outrage Of Modesty,28,35,32,22,23,32,18,32,22,25,39,31,44
Bedok Police Division - Tampines NPC,54,61,56,42,56,55,58,57,76,85,99,98,134
    Robbery,1,3,0,0,0,1,2,7,8,7,6,10,17
    Housebreaking,5,3,1,3,5,1,2,5,5,13,11,9,27
    Snatch Theft,1,1,0,2,0,0,1,6,4,3,13,11,10
    Theft Of Motor Vehicle,5,13,3,1,5,8,18,7,21,17,19,25,31
    Outrage Of Modesty,42,41,52,36,46,45,35,32,38,45,50,43,49
Bedok Police Division - Unknown NPC,5,3,0,1,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,5,3,0,1,0,0,0,0,0,0,0,0,0
Jurong Police Division - Total,270,243,264,250,263,417,380,392,455,524,614,664,799
    Robbery,3,4,2,5,7,18,13,14,12,47,50,57,87
    Housebreaking,22,18,18,8,20,41,29,53,61,41,123,106,170
    Snatch Theft,4,7,3,1,4,5,8,20,11,45,46,82,61
    Theft Of Motor Vehicle,14,17,14,12,21,32,31,51,83,107,101,141,194
    Outrage Of Modesty,227,197,227,224,211,321,299,254,288,284,294,278,287
Jurong Police Division - Bukit Batok NPC,61,42,52,46,52,62,50,49,54,44,74,67,114
    Robbery,2,1,2,0,0,1,2,1,0,3,5,6,11
    Housebreaking,3,1,6,2,2,7,2,7,7,7,15,8,33
    Snatch Theft,1,1,0,0,1,1,0,4,0,1,8,11,9
    Theft Of Motor Vehicle,3,4,3,2,4,1,0,2,3,4,9,17,21
    Outrage Of Modesty,52,35,41,42,45,52,46,35,44,29,37,25,40
Jurong Police Division - Bukit Panjang NPC,34,28,32,36,30,46,30,38,47,44,49,56,55
    Robbery,1,0,0,0,0,1,1,3,0,6,3,0,1
    Housebreaking,1,1,0,1,1,4,8,6,12,5,7,12,7
    Snatch Theft,0,0,0,0,0,2,1,0,1,6,3,7,7
    Theft Of Motor Vehicle,1,1,0,1,4,3,0,8,5,5,3,10,16
    Outrage Of Modesty,31,26,32,34,25,36,20,21,29,22,33,27,24
Jurong Police Division - Choa Chu Kang NPC,53,50,61,63,71,56,47,56,80,60,95,82,120
    Robbery,0,0,0,3,3,0,0,1,2,2,10,12,13
    Housebreaking,0,4,3,3,6,8,4,13,11,3,13,6,15
    Snatch Theft,1,2,1,0,1,0,2,1,0,5,8,8,8
    Theft Of Motor Vehicle,2,1,2,5,4,3,2,7,15,16,18,16,40
    Outrage Of Modesty,50,43,55,52,57,45,39,34,52,34,46,40,44
Jurong Police Division - Jurong West NPC,57,57,63,46,51,62,59,68,78,100,97,130,129
    Robbery,0,1,0,0,0,3,4,3,0,6,5,7,15
    Housebreaking,10,4,4,1,1,8,2,8,14,4,24,29,25
    Snatch Theft,1,2,2,0,0,0,2,4,5,9,6,22,9
    Theft Of Motor Vehicle,3,4,5,3,5,4,10,4,19,22,13,20,32
    Outrage Of Modesty,43,46,52,42,45,47,41,49,40,59,49,52,48
Jurong Police Division - Nanyang NPC,61,66,54,57,59,79,64,67,64,78,119,97,140
    Robbery,0,2,0,2,4,4,4,2,3,9,11,11,18
    Housebreaking,8,8,5,1,10,7,6,8,3,5,32,25,36
    Snatch Theft,1,2,0,1,2,1,0,2,0,3,9,12,15
    Theft Of Motor Vehicle,5,7,4,1,4,12,4,9,13,8,26,14,23
    Outrage Of Modesty,47,47,45,52,39,55,50,46,45,53,41,35,48
Jurong Police Division - Woodlands NPC,na,na,na,na,na,na,na,na,na,na,na,na,241
    Robbery,na,na,na,na,na,na,na,na,na,na,na,na,29
    Housebreaking,na,na,na,na,na,na,na,na,na,na,na,na,54
    Snatch Theft,na,na,na,na,na,na,na,na,na,na,na,na,13
    Theft Of Motor Vehicle,na,na,na,na,na,na,na,na,na,na,na,na,62
    Outrage Of Modesty,na,na,na,na,na,na,na,na,na,na,na,na,83
Jurong Police Division - Woodlands East NPC,na,na,na,na,na,51,60,51,50,107,93,114,na
    Robbery,na,na,na,na,na,0,1,1,1,11,5,8,na
    Housebreaking,na,na,na,na,na,2,4,2,2,4,22,12,na
    Snatch Theft,na,na,na,na,na,1,2,3,1,14,7,9,na
    Theft Of Motor Vehicle,na,na,na,na,na,7,6,9,13,35,15,27,na
    Outrage Of Modesty,na,na,na,na,na,41,47,36,33,43,44,58,na
Jurong Police Division - Woodlands West NPC,na,na,na,na,na,59,70,63,82,91,87,118,na
    Robbery,na,na,na,na,na,9,1,3,6,10,11,13,na
    Housebreaking,na,na,na,na,na,5,3,9,12,13,10,14,na
    Snatch Theft,na,na,na,na,na,0,1,6,4,7,5,13,na
    Theft Of Motor Vehicle,na,na,na,na,na,2,9,12,15,17,17,37,na
    Outrage Of Modesty,na,na,na,na,na,43,56,33,45,44,44,41,na
Jurong Police Division - Unknown NPC,4,0,2,2,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,4,0,2,2,0,0,0,0,0,0,0,0,0
Woodlands Police Division - Total,159,173,191,228,224,18,na,na,na,na,na,na,na
    Robbery,2,1,5,3,6,0,na,na,na,na,na,na,na
    Housebreaking,12,15,9,20,29,2,na,na,na,na,na,na,na
    Snatch Theft,3,1,2,2,8,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,14,14,18,16,16,1,na,na,na,na,na,na,na
    Outrage Of Modesty,128,142,157,187,165,15,na,na,na,na,na,na,na
Woodlands Police Division - Woodlands East NPC,36,35,45,47,56,2,na,na,na,na,na,na,na
    Robbery,1,0,2,1,1,0,na,na,na,na,na,na,na
    Housebreaking,2,1,3,3,5,0,na,na,na,na,na,na,na
    Snatch Theft,1,0,2,1,2,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,4,4,6,3,7,0,na,na,na,na,na,na,na
    Outrage Of Modesty,28,30,32,39,41,2,na,na,na,na,na,na,na
Woodlands Police Division - Woodlands West NPC,40,35,38,43,53,7,na,na,na,na,na,na,na
    Robbery,0,0,3,0,2,0,na,na,na,na,na,na,na
    Housebreaking,1,4,0,2,5,0,na,na,na,na,na,na,na
    Snatch Theft,0,0,0,0,2,0,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,4,5,3,3,5,0,na,na,na,na,na,na,na
    Outrage Of Modesty,35,26,32,38,39,7,na,na,na,na,na,na,na
Woodlands Police Division - Yishun North NPC,37,43,42,59,64,6,na,na,na,na,na,na,na
    Robbery,1,1,0,2,1,0,na,na,na,na,na,na,na
